type1	type2	bin1	bin2	gc_rate	aromaticity	instability	mean_flexibility	hydropathy	length	hca	disord	aggreg	iorfs_gc_rate	gc_species	iorfs_gc_species	gc_seq	inter_gc_species	inter_gc_rate	A_use	C_use	D_use	E_use	F_use	G_use	H_use	I_use	K_use	L_use	M_use	N_use	P_use	Q_use	R_use	S_use	T_use	V_use	W_use	Y_use	polar_use	hydrophobic_use	positive_use	negative_use	proline-glycine_use	alanine_use	cysteine_use
denovo	iorf	0	0	0.21097999999999995	0.0027199999999999447	0.22208000000000006	0.46063	0.31837000000000004	0.007870000000000044	0.44125000000000003	0.34916	0.09967999999999999	0.20082	0.09033000000000002	0.06035999999999997	0.29513	0.07220000000000004	0.20035999999999998	0.36031	0.15827000000000002	0.39334	0.11767000000000005	0.014499999999999957	0.18554000000000004	0.09638999999999998	0.10845000000000005	0.47772000000000003	0.44643	0.00044999999999995044	0.44697	0.021170000000000022	0.20076000000000005	0.31399	0.007319999999999993	0.03774999999999995	0.03112999999999999	0.99809	0.36256	0.08135999999999999	0.33498000000000006	0.25395999999999996	0.29306	0.11341999999999997	0.36031	0.15827000000000002
denovo	iorf	0	1	0.24778	0.05820000000000003	0.03856999999999999	0.18352000000000002	0.05642999999999998	0.04139999999999999	0.07223000000000002	0.05152000000000001	0.0025800000000000267	0.17515000000000003	0.0	0.0	0.0006399999999999739	0.0	0.09843999999999997	0.08562000000000003	0.14864	0.32804	0.22148999999999996	0.09782000000000002	0.19981000000000004	0.10980000000000001	0.0025600000000000067	0.24161999999999995	0.17228	0.00017999999999995797	0.16146000000000005	0.0011400000000000299	0.18532000000000004	0.15081	0.005090000000000039	0.06677	0.04895000000000005	0.99795	0.042869999999999964	0.13798999999999995	0.019100000000000006	0.11900999999999995	0.39605999999999997	0.004049999999999998	0.08562000000000003	0.14864
denovo	iorf	1	0	0.53075	0.14371	0.5160199999999999	0.07511000000000001	0.3197	9.999999999998899e-05	0.43474	0.47394000000000003	0.25488	0.37517	0.0	0.0	2.999999999997449e-05	0.0	0.20586000000000004	0.0014999999999999458	0.23587000000000002	0.37317999999999996	0.04983000000000004	0.30852	0.029549999999999965	0.5123	0.07235000000000003	0.31701	0.29525999999999997	0.012220000000000009	0.23904999999999998	0.44977	0.22465000000000002	0.26917	0.043399999999999994	0.37285	0.17256000000000005	0.28208999999999995	0.20716	0.07311999999999996	0.16180000000000005	0.17493000000000003	0.08709	0.06283000000000005	0.0014999999999999458	0.23587000000000002
denovo	iorf	1	1	0.38434	0.5040899999999999	0.17076999999999998	0.40976999999999997	0.19323	0.0005699999999999594	0.08477999999999997	0.05144000000000004	0.28332999999999997	0.38268	0.26995	0.20138999999999996	0.34343999999999997	0.19887	0.37839	0.03161999999999998	0.26531000000000005	0.43337000000000003	0.10333999999999999	0.38827	0.38304000000000005	0.42822000000000005	0.27835	0.09421999999999997	0.35944	0.005560000000000009	0.34663	0.05872999999999995	0.21186000000000005	0.22023000000000004	0.03635999999999995	0.5644100000000001	0.23075	0.43862	0.53841	0.13071999999999995	0.14083	0.31496999999999997	0.15195000000000003	0.16002000000000005	0.03161999999999998	0.26531000000000005
denovo	trg	0	0	0.06267999999999996	0.00548000000000004	0.28563000000000005	0.28188	0.37692000000000003	0.01637999999999995	0.06076999999999999	0.23972000000000004	0.22963	0.05908000000000002	0.09894999999999998	0.06918000000000002	0.12888	0.08048	0.060169999999999946	0.03293999999999997	0.99587	0.007419999999999982	0.09319999999999995	0.14373999999999998	0.28481999999999996	0.21585	0.39919000000000004	0.19262	0.38578	0.019340000000000024	0.16415999999999997	0.018059999999999965	0.29910000000000003	0.15300000000000002	0.18120000000000003	0.0046599999999999975	0.49024999999999996	0.013769999999999949	0.42805000000000004	0.0044399999999999995	0.44197	0.43254000000000004	0.033399999999999985	0.10340000000000005	0.03293999999999997	0.99587
denovo	trg	0	1	0.04559000000000002	0.005530000000000035	0.24546999999999997	0.33113000000000004	0.41396999999999995	0.002829999999999999	0.139	0.27166	0.23497	0.027200000000000002	0.0	0.0	9.99999999995449e-06	0.0	0.010240000000000027	0.0020999999999999908	0.99602	0.0026199999999999557	0.09428000000000003	0.16515999999999997	0.03832000000000002	0.16723	0.030939999999999968	0.42877	0.45826999999999996	0.013310000000000044	0.06503999999999999	0.002909999999999968	0.18816999999999995	0.27615999999999996	0.17596999999999996	0.00817000000000001	0.21365999999999996	0.00022999999999995246	0.43835	0.0021799999999999597	0.44303000000000003	0.34386000000000005	0.031059999999999977	0.018830000000000013	0.0020999999999999908	0.99602
denovo	trg	1	0	0.37041999999999997	0.25546	0.029549999999999965	0.21516999999999997	0.18949000000000005	0.23653999999999997	0.024429999999999952	0.05972999999999995	0.014209999999999945	0.48695999999999995	0.0	0.0	0.0	0.0	0.29285000000000005	0.026089999999999947	0.27930999999999995	0.05037999999999998	0.19865999999999995	0.25610999999999995	0.16035999999999995	0.019630000000000036	0.00021000000000004349	0.44658	0.31882	0.27581	0.38132	0.010929999999999995	0.30991	0.14426000000000005	0.14620999999999995	0.29568000000000005	0.06442999999999999	0.28803999999999996	0.06745000000000001	0.018020000000000036	0.003349999999999964	0.05262	0.10941999999999996	0.005109999999999948	0.026089999999999947	0.27930999999999995
denovo	trg	1	1	0.26156999999999997	0.26119000000000003	0.02092000000000005	0.12283	0.13349	0.06825000000000003	0.05998000000000003	0.06501000000000001	0.009190000000000031	0.24753000000000003	0.2724	0.18291999999999997	0.26241000000000003	0.21192999999999995	0.24060000000000004	0.22599000000000002	0.25419	0.03161000000000003	0.22238999999999998	0.20162999999999998	0.47109999999999996	0.013989999999999947	0.010229999999999961	0.16745	0.23097	0.20911000000000002	0.19708000000000003	0.10072999999999999	0.15908	0.22767000000000004	0.15371999999999997	0.36968	0.023299999999999987	0.10206000000000004	0.08840000000000003	0.00988	0.00922999999999996	0.012809999999999988	0.12355000000000005	0.10633000000000004	0.22599000000000002	0.25419
iorf	iorf	0	1	0.41530999999999996	0.17467	0.25076	0.16837000000000002	0.16452999999999995	0.33996000000000004	0.08192999999999995	0.09714999999999996	0.22887999999999997	0.49163999999999997	0.0	0.0	0.0026000000000000467	0.0	0.3194	0.15715	0.45204	0.48194000000000004	0.38261	0.24522	0.11297999999999997	0.45099999999999996	0.09902	0.24492000000000003	0.22897	0.74234	0.20384000000000002	0.15717000000000003	0.48827	0.09060999999999997	0.47053	0.42655	0.43859000000000004	0.7771399999999999	0.18101	0.42099	0.06010000000000004	0.33601000000000003	0.39686999999999995	0.05830000000000002	0.15715	0.45204
trg	cds	0	0	0.055910000000000015	0.19279999999999997	0.45594999999999997	0.12168000000000001	0.22507	0.0033600000000000296	0.21126	0.38312999999999997	0.11214999999999997	0.05535000000000001	0.44369000000000003	0.53589	0.08125000000000004	0.51692	0.05754999999999999	0.13163000000000002	0.38069	0.14912000000000003	0.15996	0.3015	0.16303999999999996	0.22014999999999996	0.42938	0.30806	0.22931	0.26197000000000004	0.45042000000000004	0.10467000000000004	0.44833	0.35431999999999997	0.15966999999999998	0.48627	0.41981999999999997	0.32220000000000004	0.43471000000000004	0.21665	0.08516999999999997	0.23755000000000004	0.10946999999999996	0.08040999999999998	0.13163000000000002	0.38069
